AGENT_CODE,AGENT_NAME,WORKING_AREA,COMMISSION,PHONE_NO,COUNTRY
A001,subbarao,Bangalore,0.14,077-12346674,
A002,mukesh,Mumbai,0.11,029-12358964,
A003,alex ,London,0.13,075-12458969,
A004,ivan,Torento,0.15,008-22544166,
A005,anderson,Brisban,0.13,045-21447739,
A006,mcDen,London,0.15,078-22255588,
A007,ramasundar,Bangalore,0.15,077-25814763,
A008,alford,New  York,0.12,044-25874365,
A009,benjamin,Hampshair,0.11,008-22536178,
A010,santakumar,Chennai,0.14,007-22388644,
A011,ravi Kumar,Bangalore,0.15,077-45625874,
A012,lucida,San  Jose,0.12,044-52981425,
A013,pucida,Ban  Kose,0.12,044-52981425,
